doc_n,date,title
2018140808.0,2020-05-19,Канализационная насосная станция с системой защиты от гидравлического удара
2016123965.0,2018-01-24,"УСТРОЙСТВО ДЛЯ ОЧИСТКИ, СОЗДАЮЩЕЕ ОЗОН, И ЕГО ИСПОЛЬЗОВАНИЕ ДЛЯ ОЧИСТКИ ДРЕНАЖНЫХ СТОКОВ В ПОЛУ"
2016116812.0,2018-04-27,"АВТОМАТИЧЕСКОЕ УСТРОЙСТВО ОТКРЫВАНИЯ ИЛИ ЗАКРЫВАНИЯ ОКНА, ИСПОЛЬЗУЮЩЕЕ ВЕДУЩИЙ РОЛИК, И ОКНО, ЕГО СОДЕРЖАЩЕЕ"
2016146409.0,2018-05-25,РЕГУЛИРУЕМАЯ ДВЕРНАЯ ПЕТЛЯ
2017123380.0,2019-01-09,АВТОМАТИЧЕСКОЕ ПРИВОДНОЕ УСТРОЙСТВО ДЛЯ КОЛЕНЧАТОГО ВАЛА С ФУНКЦИЕЙ РЕГУЛИРОВАНИЯ СКОРОСТИ
2017145013.0,2019-06-24,Монтажная система для крепления стенного уголка проводящей текучую среду установки на стене
2018119756.0,2020-01-09,УЗЕЛ ДЛЯ ПЕРЕМЕЩЕНИЯ ДВЕРЦЫ ПРЕДМЕТА МЕБЕЛИ
2018112736.0,2019-10-11,ПРОМЫВОЧНОЕ УСТРОЙСТВО ДЛЯ СМЫВНОГО БАЧКА
2016130822.0,2018-03-20,"УСТРОЙСТВО ДЛЯ ОТВОДА ВОДЫ, СНАБЖЕННОЕ ПОДВИЖНЫМ КЛАПАНОМ С НЕЙТРАЛИЗАЦИЕЙ ЗАПАХА"
2016132432.0,2018-02-08,Регулируемая выдвижная петля для присоединения двери к неподвижной конструкции
2019111266.0,2020-10-15,Модифицированное замковое устройство
2019108415.0,2020-10-08,"УСТРОЙСТВО ДЛЯ КАНАЛИЗАЦИОННОЙ СИСТЕМЫ, СОДЕРЖАЩЕЙ ФРАНЦУЗСКИЙ ДРЕНАЖ"
2016143993.0,2018-05-10,"ВЫДВИЖНАЯ НОЖНИЧНАЯ СИСТЕМА, А ТАКЖЕ СДВИЖНАЯ ДВЕРЬ ИЛИ СДВИЖНОЕ ОКНО С ТАКОЙ ВЫДВИЖНОЙ НОЖНИЧНОЙ СИСТЕМОЙ"
2016147069.0,2018-06-08,РОЛИК
2016151312.0,2018-07-27,"СИСТЕМА КАРЕТКИ С ПРУЖИННОЙ ВЫЕМКОЙ, А ТАКЖЕ СДВИЖНАЯ ДВЕРЬ ИЛИ СДВИЖНОЕ ОКНО С ТАКОЙ СИСТЕМОЙ КАРЕТКИ"
2017102197.0,2018-07-30,"ХОДОВОЙ МЕХАНИЗМ С ЭКСЦЕНТРИКОВОЙ НАПРАВЛЯЮЩЕЙ ЦАПФОЙ, А ТАКЖЕ РАЗДВИЖНАЯ ДВЕРЬ ИЛИ РАЗДВИЖНОЕ ОКНО С ТАКИМ ХОДОВЫМ МЕХАНИЗМОМ"
2017102468.0,2018-08-10,ФУРНИТУРА ДЛЯ РАЗДВИЖНОЙ ДВЕРИ
2017102469.0,2018-08-07,РЕЛЬС ДЛЯ АРМАТУРЫ РАЗДВИЖНЫХ ДВЕРЕЙ
2017107792.0,2018-09-10,Регулируемое по длине соединение для тягового механизма
2017107848.0,2018-10-11,КЛЮЧ И СООТВЕТСТВУЮЩИЙ ЕМУ ЗАМОК
2017110145.0,2018-09-28,ДЕМПФИРУЮЩЕ-ВТЯГИВАЮЩЕЕ УСТРОЙСТВО ДЛЯ КОНЕЧНЫХ ПОЛОЖЕНИЙ РАЗДВИЖНОЙ ИЛИ ПОДЪЕМНО-РАЗДВИЖНОЙ СТВОРКИ ОКНА ИЛИ ДВЕРИ
2017110785.0,2018-10-17,"СЛИВНОЕ УСТРОЙСТВО И РАКОВИНА, СОДЕРЖАЩАЯ ТАКОЕ СЛИВНОЕ УСТРОЙСТВО"
2017106295.0,2018-10-01,АНТИВАНДАЛЬНЫЙ НАВЕСНОЙ ЗАМОК
2017113600.0,2018-11-06,НАПРАВЛЯЮЩЕЕ УСТРОЙСТВО ДЛЯ НАПРАВЛЕНИЯ РАЗДВИЖНОЙ ДВЕРИ И КОРПУСНОЕ МЕБЕЛЬНОЕ ИЗДЕЛИЕ
2017131781.0,2019-03-12,ЦИЛИНДРОВЫЙ СЕКРЕТНЫЙ МЕХАНИЗМ ДЛЯ ВРЕЗНОГО ЗАМКА
